,E,d_A_dir,d_A_smr,g_A_nm,z_PS,z_SS
0,0.95(22),-9.0(9.0)e-09,-6.7(6.7)e-07,0.45(20),0.0(3.3)e-06,4.4(4.4)e-07
1,1.40(32),-9.0(9.0)e-09,-6.7(6.7)e-07,0.0(1.0),0.0(3.3)e-06,4.4(4.4)e-07
2,1.68(32),-9.0(9.0)e-09,-6.7(6.7)e-07,0.0(1.0),0.0(3.3)e-06,4.4(4.4)e-07
3,1.78(32),-9.0(9.0)e-09,-6.7(6.7)e-07,0.0(1.0),0.0(3.3)e-06,4.4(4.4)e-07
4,,,,0.0(1.0),,
5,,,,0.0(1.0),,
6,,,,0.0(1.0),,
7,,,,0.0(1.0),,
8,,,,0.0(1.0),,
9,,,,0.0(1.0),,
10,,,,0.0(1.0),,
11,,,,0.0(1.0),,
12,,,,0.0(1.0),,
13,,,,0.0(1.0),,
14,,,,0.0(1.0),,
15,,,,0.0(1.0),,
